"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"Q13464",1323.16,3270.49,530.89,3548.89,5422.98,5871.8,3580.38,4471.45,4477.35,3804.35
"Q13561",6682.28,29244.2,18187.5,15095.6,42310.2,32554.5,34617.7,40643.9,30913,43634.2
"Q13642",261052,135534,67855.1,82768.8,335148,334677,319918,201447,367732,513293
"Q13643",3762.89,4223.31,4253.84,1784.14,6804.85,6178.6,5662.39,4441.87,5431.34,7016.98
"Q13683",18990.1,16171.7,7233.95,14208.4,26435.3,47896.2,41642.3,43217.9,63568.1,55396
"Q13813",125110,93743.5,30977,109626,147082,155744,199613,167676,171485,155619
"Q13976",26429.7,25030,20009,13354.5,49327.8,65772.7,41071.2,61317.4,68647.7,58602.7
"Q14019",6822.98,4101.94,3868.18,11940.2,6322.2,5606.21,10082,10225.9,8371.38,7361.86
"Q14103",7631.23,7097.97,6208.74,9649.3,7518.87,10154.8,10532.5,9856.49,11302,13109.1
"Q14112",21163.1,5618.49,9774.75,25185.8,17854.3,17251.6,23411,9479.58,15579.7,20406.1
"Q14192",26529.4,8632.07,10610.8,12841.3,29857.4,12031.9,21516.5,15571.3,2865.26,24221.9
"Q14195",206093,194529,133305,114697,285459,338846,317991,326709,346285,367572
"Q14203",4106.46,2783.61,1794.91,1548.17,6553.84,4283.3,5444.88,4072.69,5057.09,5569.1
"Q14204",54926.7,38695.6,15882.9,48903.2,97812.9,77802.3,71316.8,76317.2,92638.3,56525
"Q14314",17376.2,13987.9,8830,4640.08,23608.1,8285.79,10335.3,7837.66,8660.28,14217.6
"Q14315",258884,131189,82650.9,84562.2,288885,531930,450887,380068,401534,631823
"Q14515",7139.99,10912.6,8186.41,1657.52,13857.5,13520.5,10893.4,8444.03,14715.3,50977.1
"Q14624",268221,143574,137518,127489,89739.3,91233.4,65423.6,41953.7,45503.7,69057.4
"Q14697",17679.1,21264.2,17112.7,24873.3,23805.5,21436.9,23636.8,34726,22461.3,18978.1
"Q14764",9264.74,5933.41,7951.99,7043.74,10620.4,6136.53,5551.57,8787.22,8900.78,5055.21
"Q14766",94765.5,69190.4,74850.7,73012.6,69262.9,65810.6,73893.6,46750.2,57146.4,104241
"Q14767",154284,114691,137545,112919,126727,126805,186961,144259,144628,258915
"Q14847",74173.1,56853.5,43872.3,25384.1,90804.6,101899,116805,82892.3,89711,113885
"Q14956",4205.27,5916.22,16814.2,3237.14,7211.36,5667.08,8753.87,3673.27,3950.47,5771.67
"Q14974",3818.93,3057.4,1605.09,3355.39,6831.9,5909.41,7644.65,9080.6,10465.6,3720.65
"Q14BN4",20403.7,12101.8,4333.01,10339.6,31743.7,49643.2,32642.9,58695.2,57319.9,53215
"Q15019",33731.8,30084.8,13787.1,26686.1,26292.8,41349.6,56502.8,37933.6,38988.9,55075.9
"Q15084",25221.9,22283.5,22816,46353.8,43449.5,36337.6,39842.2,49209.2,35683.5,42310.3
"Q15113",34620.1,23671.2,22596,32176.9,28024.7,23449.8,55536.4,27923.9,20341.2,37358.3
"Q15121",8892.27,7871.09,3650.51,7079.41,5221.04,14023.4,23509.6,22388,11597.8,23827.9
"Q15124",323068,275806,184004,138214,496259,859537,388666,590014,670611,539819
"Q15149",99987.1,74804.5,57074.9,114990,134699,121885,130632,97292.2,133348,109171
"Q15257",7892.46,6424.66,4922.25,4486.43,8311.46,9014.48,8989.71,10065.2,10828.5,7258.94
"Q15365",25708.8,12706.3,10564.5,23899.6,33352.4,26166.2,27638.6,18327.8,33469.1,42494
"Q15366",6373.38,5372.36,2141.69,6009.71,7386.48,8526.75,7574.95,5939.7,9736.87,11059.4
"Q15370",2188.62,2902.64,2622.94,2811.1,2798.52,2440.83,3336.76,3084.45,3003.44,4585.94
"Q15404",117752,141238,107207,65591.8,143285,220590,147282,232821,237018,248891
"Q15417",72397.5,52942.5,38353.8,12409.8,107800,43118.7,72076.9,23522.1,42249.7,81913.1
"Q15435",4808.05,3785.33,1139.26,1255.32,5058.39,5100.78,5243.2,6276.32,5240.32,6911.46
"Q15582",502769,384810,689274,603401,626153,423806,366494,607672,296370,282331
"Q15691",8819.16,1790.33,1869.37,7381.19,16502.1,15020.1,15901.6,12738.6,16634.9,23111.1
"Q15717",875.27,1731.67,1473.62,2148.32,1733.71,2139.86,1693.67,2907.15,2496.57,2417.71
"Q15746",162378,165168,78486,79703.5,179441,323436,296478,222082,339296,390740
"Q15847",43529.2,42708.2,34695.9,4395.99,50137.4,40692.3,63421.6,22837.5,50681.8,70206.6
"Q15848",7255,2286.96,1954.55,3878.69,4619.25,3988.94,5310.15,2557.78,2133.71,6744.08
"Q15942",72706.3,80382.2,51527.2,9216.96,85923.5,109484,149343,81765.7,130287,232548
"Q16270",121259,70151.6,198816,69521.9,169517,77229.4,103961,71213.7,59626.2,181164
"Q16527",124883,118276,84602.2,41913.5,247212,88763.5,85649.2,58318,56923.9,139993
"Q16531",3976.73,1339.88,945.09,3405.2,4440.41,5654.6,5218.48,6745.43,6053.59,4021.9
"Q16555",113067,98800.4,62948.2,83231.3,130242,150744,147378,141080,175277,173217
"Q16563",9209.83,7284.42,6201.03,5280.84,8619.77,8508.24,5227.08,5886.67,5887.32,4814.22
"Q16610",3719.25,3703.74,3229.97,3656.11,1843.83,2537.38,2594.53,1331.24,1392.17,3010.73
"Q16647",54189.9,11939.6,10433.1,23876.5,41255.7,70538.9,58849.5,64445,62543.7,63033.7
"Q16658",7797.95,5998.49,5695.28,7869.62,5393.51,5593.21,8897.46,6884.04,5835.87,4834.09
"Q16774",1170.88,2023.65,1083.58,1029.58,1642.17,1888.65,1671.73,2267.13,1299.87,2863.85
"Q16775",8761.65,10769.3,8819.94,9025.84,16901.2,14586.1,13984.3,12515.6,15129.2,19360.8
"Q16836",7522.28,6153.56,717.7,5224.73,7233.64,10470.2,10275.3,11244.6,12337.7,10649.1
"Q16851",22288.9,15604.9,12093.5,17611.2,35106.8,30688.3,18873.1,29188.3,31450.8,23119.9
"Q16853",251626,166557,126596,102089,407758,423994,228698,292890,381824,310514
"Q16881",720.39,2038.83,695.89,951.98,1344.46,1194.01,954.47,2090.52,1762.25,1189.62
"Q16891",5953.22,3834.88,2166.17,7104.58,13625.1,13214.8,14422.4,16079.4,15312.8,13634.4
"Q53GG5",113022,126406,62512.3,36849.5,200023,248298,156085,175465,218855,242676
"Q53GQ0",7952.26,3824.78,2976.42,4394.41,8704.91,9467.07,9708.07,6754.97,8885.77,9283.25
"Q53TN4",8476.74,3581.35,1803.3,2734.03,10617.2,7879.41,11834.8,2623.1,7702.13,7893.99
"Q562R1",198738,342849,212425,71999.5,340571,403177,81490.7,237332,125626,203215
"Q5JTV8",2016.97,570.48,353.15,1905.54,1941.73,2862.45,2877.85,2923.08,2593.04,3188.21
"Q5SSJ5",15004.7,10530.3,8382.3,11604.1,18204.3,24548.9,20350.9,12971.5,18181.7,19529.1
"Q5T4S7",14568.7,5912.83,4624.1,10218.2,28437.5,40987.7,27468.3,26482.3,23919.7,42344.9
"Q63ZY3",9958.83,18541.6,7708.84,3442.68,18991.3,36916.9,40616.8,28256.9,46145.2,41775.7
"Q6DD88",5103.68,2959.62,1662.1,2554.16,11428.6,9878.71,11585.6,9959.84,11627.8,10526
"Q6IBS0",1819.89,7147.19,5380.36,4111.78,9537.54,7998.09,6181.58,7063.83,9054.54,9518.7
"Q6NZI2",188364,211029,100851,114067,296782,308795,303457,321611,318551,326715
"Q6UVK1",14125.7,12056.3,2305.34,2468.96,28984.7,32104.1,27708.6,31778.2,35688.7,49487.2
"Q6UWY5",23655.1,21469.5,13703,13401.6,23277.8,13436.1,18870,33663.6,12814.6,8539.74
"Q6UX71",10857.8,8960.46,10145.7,4343.03,8332.39,6262.42,12240.4,7716.84,7690.99,8153.52
"Q6UXI9",8310.58,4894.6,4002.99,6489.48,12607.8,14830.4,5753.48,8470.63,10773.7,20892
"Q6ZMP0",3675.32,6715.28,4254.52,2352.54,12055.3,8034.32,4016.51,7510.83,3547.58,12632.3
"Q7KZF4",3100.28,964.63,776.05,5435.54,8159.91,7016.83,7969.41,6711.73,9833.34,3786.77
"Q7Z5L7",2902.63,4069.56,2182.26,3286.95,2945.51,2356.73,3337.87,3779.76,3310.12,2671.72
"Q7Z7G0",94323.4,60510.4,38340,49496.5,59177.4,135864,157826,107133,134438,101534
"Q86T65",18169.7,11960.2,9996.76,41001.6,8033.63,13398.8,14232.6,6287.26,4872.74,21055.5
"Q86UP2",2014.36,503.05,425.25,892.73,2411.12,3026.77,3464.82,3081.03,1268.16,4326.71
"Q86UX2",15087.1,9764.94,3507.67,4418.8,16058.5,21223.4,19416.4,12113.8,18374.6,17205.9
"Q86VP6",11072.2,7847.16,882.02,14402.6,19057.1,17615.9,15703.8,18366.3,20058.5,12690.6
"Q8IUE6",13256.2,10678.6,8185.74,9219.32,11851.8,16237.1,12842.6,20046.9,20334.3,9099.59
"Q8IUX7",203660,145627,166273,105235,136455,133620,179147,99014,105836,148646
"Q8IVL1",19873.7,9818.54,7182.99,35601.2,21793,17916.9,17905.5,7838.36,13319.2,13756.8
"Q8IVN8",18351.5,15130.5,11975.1,5857.9,16474.6,21568.9,22049,10896.2,14780,30750.4
"Q8IX30",9307.51,12792.3,3623.37,2381.9,17916.9,25523.5,6330.19,16579.4,23825.1,23602.2
"Q8IXB1",2815.08,1367.2,4038.2,1812.45,307.26,4258.12,3009.54,8375.73,3218.09,8326.14
"Q8N1G4",2218.09,2946.48,1839.84,1936.47,3252.5,5454.61,4547.08,4705.89,6326.91,5218.36
"Q8N2S1",94646.2,83065.3,74151.3,43282.4,102457,153381,135616,154899,152054,293545
"Q8N335",16056.2,13967.3,2603.5,1599.31,27905.5,32173.3,19932.5,31547.6,35750.8,23979.9
"Q8N3V7",6485.51,17854.8,9831.4,2046.85,19382.4,21447.2,19788.1,11378.5,22244.7,29071
"Q8N436",8993.1,3827.82,5517.87,2367.75,9311.22,6549.02,5869.91,6838.75,6039.99,5915.93
"Q8NBS9",8609.06,4554.74,6847.29,14285.7,6635.03,5192.33,10019.7,9754.07,4620.28,13554.9
"Q8WUM4",32161.6,15865.9,13535.3,22695.7,41336.9,50331.2,42904.6,40267,49397.8,48618.7
"Q8WUP2",81445.8,85871.9,54472.4,31847.6,113495,107088,98039.2,68955.4,80249.4,179763
"Q8WWX9",2238.6,3830.17,2042.76,2656.15,3893.82,3658.35,4766.53,5411.2,4548.53,7698.25
"Q8WX93",89684.7,112313,68931.3,35267.7,147736,223892,193678,176274,261463,254673
"Q92499",2345.51,3789.04,1042.67,3045.48,12930.7,15323.1,12595.9,10814.7,12230.6,17361.5
"Q92522",8463.72,5433.73,3659.91,4300.57,1589.9,5495.28,5394.59,5459.69,5249.48,6039.67
"Q92597",4810.66,4192.29,7857.43,981.08,15600.5,12579.4,10132,8107.61,10668.9,7005.59
"Q92626",13971.1,2980.86,3712.24,11016.8,10961.1,3130.24,566.69,5612.65,3451.11,7189.24
"Q92629",6178.61,3909.4,6697.38,4750.96,17983.2,21419,11738.7,17997.6,19250.7,17387
"Q92747",8290.64,8517.43,1761.03,4959.14,11379.8,15384,11300.1,14163.9,12828.2,17669
"Q92765",62027.4,56455.3,27747.7,8289.12,128222,32942.6,42471.8,29812.8,15237.1,49229.3
"Q93052",246432,239821,174681,59368.5,359671,443545,486965,330514,510655,627272
"Q93062",2933.56,3879.41,2000.49,1814.03,6272.57,6365.59,5083.21,6962.55,7123.51,6435.03
"Q969G5",79122.5,75652.4,45953.6,28547,127630,116310,98885.1,100923,137324,120566
"Q96A00",13663.6,8741.31,7080.04,5277.97,11767.5,16450.1,12601.8,13801.3,12043.3,17441.7
"Q96AC1",144301,123090,87102.1,56829.9,163856,245835,204650,193518,233634,250611
"Q96AE4",2757.87,2351.73,1016.84,1483.16,3191.48,3581.72,3932.33,4181.26,1807.3,5221.97
"Q96AQ6",2116.36,1156.46,1066.81,1704.96,3656.37,2565.34,1825.06,3394.22,1249.26,5778.17
"Q96C12",18528.6,12360.7,13795.8,29686.7,23703.4,9532.35,12664,23352.8,13255.8,8806.81
"Q96CW1",9329.75,8217.67,8022.42,6192.7,10987.6,12617,11398.1,11487.5,13095.4,10808.6
"Q96CX2",12613.8,10483.1,9878.7,19477.7,16182.1,16526.5,15492.9,17552.1,14792.6,17629.6
"Q96FW1",1155.56,1667.61,1149.65,847.11,1498.89,1100.49,1267.54,1584.79,1274,1046.02
"Q96G03",1156.14,1889.47,962.86,6690.07,6414.01,4156.03,4953.75,6431.33,1999.43,4121.53
"Q96HC4",69962.9,48383.6,33865.2,23788.7,113317,124565,111240,83113.3,129433,128448
"Q96IU4",9138.18,7020.08,3458.02,6988.67,10614.8,9212.85,9329.16,7561.83,11160.7,7133.9
"Q96JY6",10283,11720.8,10867,1949.04,10941.5,13276.8,14377.4,6413.58,14902.1,22328.8
"Q96KP4",13406.8,6208.19,10688.6,23023.9,17647.6,16041,18694.2,22481.1,19688.6,6943.39
"Q96P44",22733,27172.4,20292,6155.99,16651.8,11294.3,15564.4,9517.14,12449.2,30082.5
"Q96QK1",18450.3,11866.8,12299.4,17170.5,27614.2,27642.4,19285,24336,27303.5,22268.6
"Q96RF0",7434.42,8438.85,4740.48,3351.98,7251.4,12198.1,11997.3,7365.41,16790.6,11694.1
"Q96RW7",10854.9,13280.2,5723.79,1804.08,12900.7,4467.53,3267.03,5556.68,3073.78,13507
"Q96S86",117297,46812.8,24814.8,28276.4,52775.1,72327.2,26585.2,62266.9,70827.3,23787.8
"Q96S97",13524.3,7954.35,5554.41,2395.01,15932.2,18059.1,13175.1,12576.1,18083.8,15978.2
"Q99426",5088.35,8557.55,4687.17,2715.4,8078.73,11974.3,9293.05,9274.07,12067.4,8765.77
"Q99439",27383.6,28015.6,17669.4,13919.4,35933.3,18262.7,32130.9,18287.5,23928,38317.4
"Q99460",3193.33,2297.43,1633.6,1113.49,4534.61,4422.72,5134.87,3986.65,3734.43,4276.57
"Q99497",103282,90586,71529.4,80442,158124,124897,126988,142035,146325,185144
"Q99536",48471,34252.1,13023.2,39280.7,74961.3,66246.5,53303.8,45817.9,58375.8,53365.8
"Q99584",1761.52,2195.27,1582.95,2467.64,2293.31,2226.17,1901.72,2790.39,2375.34,2141.21
"Q99623",11232.3,7484.03,6335.51,12714.4,13765.2,13708.6,15834.6,18416.8,17987.6,13575.4
"Q99714",5447.82,6611.11,2552.85,7417.6,9738.96,13152.6,9295.56,15907.1,15602,9645.06
"Q99715",322591,177414,125792,78800,266143,99935,128746,153459,106973,202672
"Q99829",11918.6,8754.79,3493.88,8923.31,12359.2,16276.9,14521.8,14889.4,11420.4,16212
"Q9BPX5",3689.48,3939.43,2827.18,1876.17,4747.42,3785.89,2584.8,5656.11,5403.24,4724.02
"Q9BQB4",12102.7,11846.9,9333.05,7879.33,25389.6,12804.8,4008.18,8052.52,14058.8,23768.9
"Q9BR76",22547.8,20615.9,3855.77,11472.5,31613.4,32823.4,30366.7,31878.5,32631.1,34809.4
"Q9BS26",3174.25,3096.16,3599.87,5286.88,2473.47,3203,4306.51,4149.63,2487.11,5020.7
"Q9BSJ8",13037.8,9019.13,6967.67,11410.6,12833.3,15373.2,16799.9,18749.5,23651.9,13787.4
"Q9BTV4",17308,11432.5,6668.2,14860.4,22825.7,29873,25331.3,33305.8,32820.4,31523.5
"Q9BUF5",10164,2235.73,3280.26,5783.71,13122.8,18914.8,19660.9,6931.6,21457.8,20485
"Q9BUP0",12253.2,11056.6,5110.39,3102.91,22429,16861.5,19745.3,17801.2,23224.8,34023.6
"Q9BVC6",21061.7,15776.2,13416.9,16801.3,27839.2,34198.6,22713.2,37738.8,29626,26638
"Q9BWM7",2270.68,4897.98,1805.97,5861.59,7536.39,6648.88,7608.55,8218,7401.02,8311.81
"Q9BX66",91035,102935,55902.8,32336.6,129241,197186,230992,149929,224945,345141
"Q9BXN1",86332.7,40424.9,39177.5,46496.4,90607.5,21171.7,39130.6,28484.7,16760.8,28670.8
"Q9BZQ8",12888.9,10318.9,12412.8,14812.1,23421.6,24034.9,36894.4,22859.8,26305.3,47629
"Q9GZM7",260012,249982,236334,96151.1,294072,265552,207942,178388,267373,234425
"Q9H0U4",2063.48,975.08,1496.09,1256.11,1722.57,3137.17,2618.96,2544.81,3262.02,2213.83
"Q9H223",40042.8,39683.1,21474.5,23574.3,55396.6,64664.4,62040.7,66189.6,70317.3,69786.9
"Q9H4A4",5456.52,5031.48,2195.34,9717.45,3878.96,15361.8,11206.7,12649.2,13987.1,9500.45
"Q9H4G4",2357.08,2308.9,2538.42,1808.79,2552.27,3079.34,3479,2048.63,4008.01,3212.63
"Q9H4M9",17598.2,15487.6,5205.63,7963.99,25920.6,28753.4,22816.2,31627.7,28856.6,17349.2
"Q9H7C9",9759.17,2795.76,543.64,6490.27,6394.09,12926,9911.66,8419.19,6036.63,10832.1
"Q9HB71",1841.85,2066.82,1451.49,2159.32,3654.75,2136.81,1915.34,3908.13,2637.54,2710.79
"Q9HBL0",192527,190716,114336,42311.3,260435,344818,381331,291409,441386,478130
"Q9HC38",12412.4,13851.3,8193.12,11523.6,18844.5,19517.6,16359.1,26632.3,15150.9,22882.5
"Q9HCB6",1013.69,3183.82,2144.71,612.19,1200.38,3990.05,6458.53,11482.2,2289.98,13236.8
"Q9HDC9",14577.6,13224.9,11366.8,25143.1,7500.03,12068.1,12015.4,8047.54,13839.4,4609.05
"Q9NQC3",27231.1,14183.5,11205.8,15496.2,28999,44925.2,37391.4,31383.5,39888.6,33325.4
"Q9NR12",186939,192059,107100,78625.6,232039,380804,404948,322902,431667,582257
"Q9NR46",720.37,1402.26,714.67,837.42,813.79,1466.77,1486.99,1429.33,1013.47,1627.98
"Q9NTK5",4591.64,6739.88,2732.27,6198.21,12900.4,13409,10419.5,16285.8,15685.3,10738.3
"Q9NVA2",9884.27,8931.8,2570.29,6723.61,6788.66,10466.6,14845.4,5197.05,5805.03,14843.9
"Q9NVD7",48871.5,43951.6,29199.5,15317.9,66521.7,88442.1,73626.9,80040.7,90506.2,98945.5
"Q9NWV4",969.18,1387.43,1179.17,1248.5,1904.06,1929.88,1511.98,2146.29,2013.04,2365.26
"Q9NZ45",3397.34,2191.57,2688.67,3630.41,3768.85,5032.74,3924.57,4167.62,4900.81,1580.43
"Q9NZL9",1913.51,1726.95,2077.29,1240.63,2472.42,2913.35,1705.33,2894.18,2779.89,2652.17
"Q9NZM1",27146.7,15541.2,11964,18595.4,45682.9,42910.1,14490.5,31607.7,43279.7,26194.7
"Q9NZN4",218153,258197,145876,120759,321228,362492,310710,347548,343714,344489
"Q9NZU5",142487,141596,91810.3,57963.2,283913,311719,208370,239070,298883,339010
"Q9UBI6",14616.9,15288,11630.3,13932.5,24266.7,28297.7,16394.4,18279.1,22349,24862.8
"Q9UBQ7",8329.37,9379.23,3795.41,4261.22,12492.9,11761.3,7588.82,13333.8,13735.4,8383.78
"Q9UBR2",6956.5,3748.92,10932.1,9356.18,3505.9,4120.36,16876.3,4921.21,3591.77,4330.93
"Q9UBX5",208135,172856,240434,158623,121765,452566,258018,451401,468042,484100
"Q9UGI8",109056,112011,61188.9,27360.1,166456,201306,151406,148769,195943,196164
"Q9UH99",4038.56,2554.69,2479.41,2523.22,3424.18,2998.55,4908.47,4199.69,4423.13,5120.02
"Q9UHG3",12754.8,14743.8,18793.6,11276.4,30380.6,36473.7,18418.3,33670.4,32704.5,27347.9
"Q9UIJ7",9244.52,4127.55,1668.13,8763.91,13111.4,10350.7,8083.02,9088.12,11498.3,6354.27
"Q9UJ70",5252.2,5846.77,5656.05,8343.9,9612.38,12578.2,7524.38,10003.7,6952.53,8373.99
"Q9UJU6",2171.84,1933.96,1267.71,1612.93,3408.27,3761.81,4577.09,2943.1,4036.38,4739.65
"Q9UL25",7851.73,7096.97,6077.28,4950.5,9840.59,8282.21,7805.21,6135.22,9065.12,8357.73
"Q9ULV4",17421,12203.6,10615.9,8603.2,23989.7,33359.8,32142.9,33214.3,30962.8,41372.8
"Q9UMS6",56595.5,48737.7,22324,10402.8,89777.5,133164,121040,108828,158165,142126
"Q9UMY4",4400.33,3626.87,2795.66,3940.57,7174.98,5640.52,6934.64,6644.36,8419.49,8241.13
"Q9UNF0",13207.1,10118.3,3036.47,6671.45,19712.2,22564.6,8435.23,18904.3,25636.6,18814
"Q9UNH7",5924.91,4125.53,3496.91,5123.26,6255.32,9060.68,6747.98,4488.52,4844.37,8978.07
"Q9Y266",3976.99,1371.59,1410.58,1531.4,5537.87,5224.45,4591.8,5317.22,3784.48,6187.85
"Q9Y2A7",4026.7,3278.9,2766.15,1701.02,5523.02,6569.5,6740.77,5980.69,2070.05,6693.28
"Q9Y2S2",6819.82,5376.07,2342.91,6035.14,6515.63,11524.8,6791.03,8731.02,13038.4,6975.62
"Q9Y3A5",15252.6,14318.3,7782.65,13658.1,28021,22327.2,18844.1,19991.8,23620.2,20868.6
"Q9Y3I0",10776.3,9054.2,6852.31,2175.32,14495.1,15534.2,13392.9,15395.2,14262.9,13590.4
"Q9Y3Z3",3021.98,380.99,2302.34,4991.13,2593.13,3200.5,5573.5,1969.43,2716.49,1809.36
"Q9Y490",737187,824325,463247,369847,1120000,1450000,1220000,1210000,1660000,1370000
"Q9Y4G6",2999.14,8293.87,2417.03,2215.42,10088.9,16667.9,19773.6,14527.3,25419.7,17989.7
"Q9Y5Z4",13785,13050.6,13014.4,8885.83,17025.4,22139.6,20985.3,20160,20440.5,30414.3
"Q9Y639",5387.41,3422.55,1991.1,3000.13,5677.43,7887.71,6656.58,8567.36,8133.65,6989.61
"Q9Y646",3110.69,5255.69,4252.85,3093.72,5317.63,4055.34,4539.3,6360.77,5407.98,3457.52
"Q9Y696",27658.4,10046.5,6034.33,15255.8,39957.2,48718.9,31911.2,36320.3,49530.4,47566.5
"Q9Y6C2",133818,99957.9,129066,160907,193895,174348,157676,163332,154816,207079
"Q9Y6N5",7414.51,2151.1,821.33,6986.33,9342.79,17517.2,6719.64,11312.7,11378.7,8275.01
